annualizedDiv,bestAsk,bestBid,beta,currentYield,divPayDate,earnings_per_share,exDivDate,fiftyDayAvgVol,fiftytwoHigh,fiftytwoLow,forward_pe_one_year,industry,marketCap,oneyeartarget,pe_ratio,previousClose,price,shareVolume,symbol,todaysHigh,todaysLow
.90,,,1.17,1.12,"
                        12/17/2018
                    ",3.49,"
                        11/30/2018
                    ","1,069,776",80.69,61.69,22.72,Transportation,13741676685,77,22.91,80.43,79.96,"687,893",EXPD,80.08,79.4177
2.24,,,0.69,2.59,"
                        4/15/2019
                    ",1.73,"
                        3/19/2019
                    ","604,301",87.77,66.33,24.53,Finance,14024104617,75,49.69,86.6,85.97,"427,801",CINF,86.44,85.56
.40,,,0.67,1.16,"
                        2/20/2019
                    ",3.04,"
                        2/5/2019
                    ","6,882,526",47.77,28.81,5.99,Transportation,15034379747,43,11.01,34.37,33.48,"3,884,219",AAL,34.20,33.425
.80,,,0.45,2.20,"
                        4/1/2019
                    ",3.73,"
                        3/14/2019
                    ","33,117",38.35,27.01,,Consumer Services,14308999768,31,9.52,36.34,35.5,"23,676",VIA,36.4717,35.26
.56,,,1.08,4.11,"
                        7/1/2019
                    ",1.20,"
                        6/14/2019
                    ","15,069,275",16.525,11.12,10.23,Finance,14335023404,15,11.37,13.61,13.64,"7,472,352",HBAN,13.71,13.515
,,,0.9,0,"
                        N/A
                    ",1.99,"
                        N/A
                    ","1,414,328",67.079,44.61,30.26,Consumer Durables,14831101831,61,32.66,65.06,64.99,"809,861",CPRT,65.63,64.5666
1.76,,,0.75,1.96,"
                        3/29/2019
                    ",2.72,"
                        3/14/2019
                    ","797,502",96.84,75.4888,18.07,Finance,14842850002,97,32.99,89.99,89.73,"475,460",NDAQ,90.11,89.30
,,,1.6,0,"
                        N/A
                    ",-0.45,"
                        N/A
                    ","1,031,878",106.74,79.13,"4,158",Health Care,14931537029,120,,83.16,83.71,"989,067",BMRN,84.71,82.725
3,,,1.02,2.11,"
                        2/26/2019
                    ",5.30,"
                        2/14/2019
                    ","2,038,260",202.48,90.06,22.61,Consumer Services,15069506060,140,26.42,142.44,140,"1,579,836",WYNN,142.04,138.27
1.52,,,1.28,1.69,"
                        3/19/2019
                    ",6.25,"
                        2/25/2019
                    ","1,698,807",104.1998,60.115,14.98,Technology,15270851850,90,14.12,90.0,88.27,"1,156,374",SWKS,89.68,88.15
,,,0.72,0,"
                        N/A
                    ",0.83,"
                        N/A
                    ","4,038,097",34.89,20.595,8.66,Consumer Services,15280241384,37,35.08,30.13,29.12,"3,813,977",DISCA,30.13,28.85
1.18,,,0.93,1.12,"
                        3/12/2019
                    ",4.19,"
                        2/22/2019
                    ","783,727",108.57,69.97,19.41,Consumer Services,15350034483,100,25.04,105.39,104.92,"533,912",CDW,105.39,104.61
1.04,,,0.89,2.49,"
                        4/18/2019
                    ",2.27,"
                        4/8/2019
                    ","289,708",47.6734,35.77,17.04,Finance,3460987902,44,18.03,41.75,40.92,"339,109",GBCI,41.92,40.32
.48,,,1,0.76,"
                        2/28/2019
                    ",2.36,"
                        2/12/2019
                    ","295,702",72.56,46.30,21.36,Consumer Services,3477847973,73,26.69,63.24,62.99,"254,020",TTEK,63.07,62.44
.19,,,1.3,3.91,"
                        5/7/2019
                    ",5.36,"
                        4/25/2019
                    ","1,702,534",62.07,40.42,9.90,Finance,15306975858,55.5,10.27,55.22,55.03,"1,242,981",PFG,55.41,54.78
,,,1.41,0,"
                        N/A
                    ",-1.95,"
                        N/A
                    ","1,429,836",28.67,12.77,,Health Care,3415767725,30,,23.58,23.74,"1,196,210",ACAD,23.9267,23.27
,,,1.94,0,"
                        N/A
                    ",0.52,"
                        N/A
                    ","638,968",76.4544,39.43,110.78,Capital Goods,3590298032,67.5,116.81,59.82,60.74,"310,640",AAXN,61.02,59.59
1.04,,,0.71,3.88,"
                        3/8/2019
                    ",1.93,"
                        2/22/2019
                    ","1,204,116",31.28,21.19,12.22,Finance,3599795120,27.5,13.83,26.77,26.69,"615,083",FHB,26.87,26.53
,,,1.25,0,"
                        N/A
                    ",-0.70,"
                        N/A
                    ","634,830",98.5836,44.50,,Technology,3602652956,86.5,,60.45,61.63,"706,598",TWOU,62,59.47
,,,1.04,0,"
                        N/A
                    ",0.93,"
                        N/A
                    ","802,045",60.55,38.95,44.47,Technology,3602982745,60,58.17,54.25,54.1,"238,525",SMTC,54.23,53.45
,,,0.93,0,"
                        N/A
                    ",3.08,"
                        N/A
                    ","807,674",132.88,56.61,41.55,Consumer Durables,3609278961,107,41.8,128.82,128.73,"845,635",IRBT,129.05,124.60
,,,0.3,0,"
                        N/A
                    ",1.48,"
                        N/A
                    ","702,954",17.15,13.58,35.80,Consumer Services,3499888676,19,10.53,15.75,15.58,"315,649",LAUR,15.78,15.51
1.08,,,0.93,2.54,"
                        3/15/2019
                    ",3.79,"
                        3/4/2019
                    ","454,303",55,32.59,10.34,Finance,3627647596,48,11,42.51,41.69,"342,484",HWC,42.89,41.52
1.68,,,1.56,1.33,"
                        4/30/2019
                    ",4.80,"
                        3/20/2019
                    ","306,948",128.37,82.24,17.93,Technology,3632158226,135,26.13,126.74,125.44,"156,744",CCMP,127.50,124.88
.54,,,0.92,0.59,"
                        1/4/2019
                    ",8.35,"
                        12/6/2018
                    ","228,102",104.8667,74.5767,20.07,Consumer Services,3645090268,105,10.82,92.32,90.4,"335,183",CHDN,91.89,90.09
,,,0.48,0,"
                        N/A
                    ",3.57,"
                        N/A
                    ","473,722",140.91,63,28.94,Health Care,3649173288,130,31.93,117.22,114,"576,194",AMED,118.65,112.82
,,,0.58,0,"
                        N/A
                    ",-1.96,"
                        N/A
                    ","402,015",22.35,13.957,,Consumer Services,3661124594,27,,20.47,20.22,"378,427",LILAK,20.65,20.06
,,,0.4,0,"
                        N/A
                    ",-5.40,"
                        N/A
                    ","492,959",89,44.5766,,Health Care,3678086809,103.5,,73.85,75.43,"367,148",BPMC,75.91,72.61
.84,,,0.53,4.91,"
                        4/15/2019
                    ",1.42,"
                        3/28/2019
                    ","1,803,161",24.89,15.085,10.43,Finance,3688245610,19,11.78,17.1,16.73,"2,328,138",UMPQ,17.21,16.70
,,,0.38,0,"
                        N/A
                    ",-1.96,"
                        N/A
                    ","330,450",22.335,13.96,36.28,Consumer Services,3699148144,26,,20.68,20.43,"116,250",LILA,20.81,20.22
,,,0.7,0,"
                        N/A
                    ",9.74,"
                        N/A
                    ","351,274",192.37,90.10,21.88,Capital Goods,3735591007,167.5,15.77,156.47,153.56,"292,790",COHR,156.78,151.33
5,,,0.51,3.22,"
                        5/6/2019
                    ",9.06,"
                        4/17/2019
                    ","392,505",185,141.63,17.24,Consumer Services,3777621097,170,17.34,155.14,157.13,"433,543",CBRL,157.54,153.74
,,,0.47,0,"
                        N/A
                    ",-0.42,"
                        N/A
                    ","390,738",55.84,33.585,,Technology,3809050648,68,,39.88,39.95,"113,292",SATS,40,39.36
.48,,,1.38,0.61,"
                        3/15/2019
                    ",0.93,"
                        2/26/2019
                    ","302,852",120.35,58.23,62.18,Technology,3837866671,78,84.97,78.97,79.02,"129,248",BLKB,79.06,78.18
,,,0.88,0,"
                        N/A
                    ",8.91,"
                        N/A
                    ","407,668",111.0799,66.93,8.95,Technology,3848742801,100,11.71,105.36,104.3,"256,494",TECD,105.09,104
,,,1.79,0,"
                        N/A
                    ",1.22,"
                        N/A
                    ","789,538",51.05,31.865,21.77,Consumer Services,3858535323,58,40.84,50.06,49.83,"383,305",ERI,50.13,49.281
,,,0.96,0,"
                        N/A
                    ",1.58,"
                        N/A
                    ","368,043",62.39,39.01,52.09,Technology,3887261444,55,38.09,57.3,60.18,"892,201",MANH,61.30,58.85
,,,0.84,0,"
                        N/A
                    ",0.57,"
                        N/A
                    ","701,640",34.98,22.13,29.80,Technology,3967456426,39,59.93,33.97,34.16,"366,414",ACIW,34.20,33.76
.80,,,0.55,1.80,"
                        3/25/2019
                    ",3.41,"
                        3/8/2019
                    ","1,041,075",45.59,25.125,19.52,Consumer Services,3972838539,39,12.75,44.51,43.47,"588,497",SBGI,44.72,43.37
,,,1.01,0,"
                        N/A
                    ",-1.05,"
                        N/A
                    ","693,955",68.55,37.27,,Health Care,4006886771,74,,47.21,46.83,"479,648",FGEN,47.96,46.38
,,,1.32,0,"
                        N/A
                    ",1.90,"
                        N/A
                    ","259,413",110.70,73.13,50.96,Technology,4010771789,98,48.71,92.75,92.55,"257,789",SLAB,93.05,88.20
1,,,0.95,1.12,"
                        2/28/2019
                    ",3.42,"
                        2/13/2019
                    ","182,374",95.40,66.28,23.04,Consumer Services,3865964756,92.5,25.95,89.38,88.74,"213,763",FCFS,89.58,86.59
