annualizedDiv,bestAsk,bestBid,beta,currentYield,divPayDate,earnings_per_share,exDivDate,fiftyDayAvgVol,fiftytwoHigh,fiftytwoLow,forward_pe_one_year,industry,marketCap,oneyeartarget,pe_ratio,previousClose,price,shareVolume,symbol,todaysHigh,todaysLow
.35,49.55,48.74,0.78,0.70,"
                        4/12/2019
                    ",-4.49,"
                        3/28/2019
                    ","1,801,326",51.50,33.93,21.53,Health Care,11031122831,53,,49.73,49.3,"1,189,711",XRAY,50.20,49.10
1.42,47,37.64,-0.25,3.09,"
                        5/15/2019
                    ",2.18,"
                        4/29/2019
                    ","1,473,401",47.91,38.22,20.53,Public Utilities,10905899149,48,21.07,45.98,45.94,"1,113,025",LNT,46.11,45.715
,80,66.58,0.91,0,"
                        N/A
                    ",-1.43,"
                        N/A
                    ","901,987",84.37,47.75,,Health Care,11067242834,80,,69.18,68.76,"849,889",SGEN,69.48,67.97
1.60,146,121.71,0.83,1.12,"
                        3/18/2019
                    ",3.99,"
                        2/28/2019
                    ","459,762",163.6804,116.79,40.20,Technology,11152020290,146,36.22,143.50,144.5,"213,017",JKHY,144.62,142.40
.80,29.18,29.03,0.69,2.65,"
                        4/1/2019
                    ",3.73,"
                        3/14/2019
                    ","4,718,933",34.44,23.31,7.19,Consumer Services,11697103472,36.5,7.78,30.18,29.02,"5,190,823",VIAB,30.20,28.86
2.72,87.80,80,0.3,2.84,"
                        5/15/2019
                    ",1.71,"
                        4/30/2019
                    ","1,226,516",109.60,76.84,20.55,Consumer Non-Durables,11101565801,103,51.53,88.78,88.11,"966,313",HAS,89.30,87.92
,264.96,261,1.75,0,"
                        N/A
                    ",4.81,"
                        N/A
                    ","568,363",459.75,244.08,71.66,Health Care,11764239360,415,54.25,256.56,260.93,"764,925",ABMD,263.785,254.50
,99.86,99.57,1.26,0,"
                        N/A
                    ",0.50,"
                        N/A
                    ","999,516",107.44,76.67,91.21,Technology,11801085586,105,198.96,97.60,99.48,"1,190,332",PTC,99.74,97.19
1,171,168.91,1.36,0.60,"
                        2/25/2019
                    ",4.51,"
                        2/14/2019
                    ","401,396",172.80,69.4452,41.94,Technology,12004269479,97,37.74,167.75,170.22,"261,362",UBNT,170.56,166.75
1.24,102,100.38,1.03,1.20,"
                        3/12/2019
                    ",4.32,"
                        2/22/2019
                    ","1,303,294",106.08,59.48,21.89,Consumer Services,12308431862,105,23.53,103.09,101.63,"915,588",TSCO,103.20,101.28
